id_bairro;desc_bairro
673;CIDADE 2000
674;CIDADE ADEMAR
675;CIDADE ALEGRIA
676;CIDADE ALTA
677;CIDADE ANTONIO ESTEVAO DE CARVALHO
678;CIDADE ARACY
679;CIDADE ARISTON
680;CIDADE BAIXA
681;CIDADE BELA
682;CIDADE DA ESPERANCA
683;CIDADE DE DEUS
684;CIDADE DOS FUNCIONARIOS
685;CIDADE EDSON
686;CIDADE INDUSTRIAL
687;CIDADE INDUSTRIAL CURITIBA
688;CIDADE INDUSTRIAL SATELITE DE SAO PAULO
689;CIDADE INTERCAP
690;CIDADE JARDIM
691;CIDADE JARDIM CUMBICA
692;CIDADE KEMEL
693;CIDADE LESTE
694;CIDADE LIDER
695;CIDADE MONCOES
696;CIDADE MORUMBI
697;CIDADE NAUTICA
698;CIDADE NOVA
699;CIDADE NOVA DA SERRA
700;CIDADE NOVA I
701;CIDADE NOVA II
702;CIDADE NOVA III
703;CIDADE OLIMPICA
704;CIDADE OPERARIA
705;CIDADE PARQUE ALVORADA
706;CIDADE PATRIARCA
707;CIDADE POPULAR
708;CIDADE SAO JORGE
709;CIDADE SAO MATEUS
710;CIDADE SATELITE
711;CIDADE SATELITE SAO LUIZ
712;CIDADE SERODIO
713;CIDADE SOBERANA
714;CIDADE SUL I
715;CIDADE TIRADENTES
716;CIDADE UNIVERSITARIA
717;CIDADE VERA CRUZ
718;CIDEZAL II
719;CINQUENTENARIO
720;CIPAVA
721;CIVIT II
722;CJTO AQUILA
723;CLAUDETE
724;COACU
725;COAHB II
726;COCAIA
727;COCO
728;COELHO DA ROCHA
729;COHAB
730;COHAB 2
731;COHAB ANIL II
732;COHAB B
733;COHAB CONJUNTO HABITACIONAL POPULINA D
734;COHAB CRIS I
735;COHAB II
736;COHAB III
737;COHAB L U A
738;COHAB MARINGA
739;COHAB NOVA
740;COHAMA
741;COHAPAR
742;COHAPAR I
743;COHAPAR III
744;COHATRAC II
745;COL AGRIC VIC PIRES
746;COL N S APARECIDA
747;COL NOVA BESSARABIA
748;COLEGIO BATISTA
749;COLINA DE LARANJEIRAS
750;COLINA DO JARDIM GLORIA
751;COLINA DOS PINHEIROS
752;COLINA NOSSA SENHORA DAS GRACAS
753;COLINA VERDE
754;COLONIA
755;COLONIA FRANCESA
756;COLONIA PINHAL
757;COLONIA SANTO ANTONIO
758;COLONIA ZONA LESTE
759;COLONIAL
760;COLUBANDE
761;COMENDADOR SOARES
762;COMERCIAL
763;COMERCIARIO
764;COMERCIO
765;COMISSAO
766;COMPENSA
767;CONCEICAO
768;CONCEICAO DA IBITIPOCA
769;CONCEICAO DA PRAIA
770;CONCEICAO DO BARREIRO
771;CONCORDIA
772;CONDOMINIO ITAMARATY
773;CONDOMINIO MARACANA
774;CONDOMINIO PORTAL DE ITU
775;CONDOMINIO RESIDENCIAL URUPES
776;CONDOR
777;CONFORTO
778;CONGOS
779;CONJ AGUA BRANCA
780;CONJ AQUILA
781;CONJ CONEGO MONTE
782;CONJ H MONS MANCINI
783;CONJ HAB 23 MAIO
784;CONJ HABITACIONAL MARIO COVAS
785;CONJ JEREISSATI
786;CONJ NOVO CENTAURO
787;CONJ ORLANDO DANTAS
788;CONJUNTO ACARACUZINHO
789;CONJUNTO ALDO PAES LEME
790;CONJUNTO BUGIO
791;CONJUNTO CAFEZAL 1
792;CONJUNTO CAIEIRAS
793;CONJUNTO CEARA
794;CONJUNTO CEARA I
795;CONJUNTO CONFISCO
796;CONJUNTO CRISTO REI
797;CONJUNTO FARID LIBOS
798;CONJUNTO HAB INOC V NOVA JUNIOR
799;CONJUNTO HABITACIONAL AGUIA DE HAIA
800;CONJUNTO HABITACIONAL ANA PAULA ELEUTERIO
801;CONJUNTO HABITACIONAL COSTA DO SOL
802;CONJUNTO HABITACIONAL GILBERTO ROSSETTI
803;CONJUNTO HABITACIONAL HILDA MANDARINO
804;CONJUNTO HABITACIONAL HUGO LACORTE VITALLE I
805;CONJUNTO HABITACIONAL INOCENTE VILA NOVA JUNIOR
806;CONJUNTO HABITACIONAL MANOEL DE ABREU
807;CONJUNTO HABITACIONAL NELSON NIERO
