id_municipio;desc_municipio
731;FLORIDA PAULISTA
732;FORMIGA
733;FORMOSA
734;FORMOSA DA SERRA NEGRA
735;FORMOSO
736;FORTALEZA
737;FORTALEZA DE MINAS
738;FORTIM
739;FOZ DO IGUACU
740;FRAIBURGO
741;FRANCA
742;FRANCISCO BADARO
743;FRANCISCO BELTRAO
744;FRANCISCO DUMONT
745;FRANCISCO MORATO
746;FRANCISCO SA
747;FREDERICO WESTPHALEN
748;FRONTEIRA
749;FRONTEIRAS
750;FRUTAL
751;FUNDAO
752;GABRIEL MONTEIRO
753;GANDU
754;GARANHUNS
755;GARCA
756;GARIBALDI
757;GAROPABA
758;GARUVA
759;GASPAR
760;GASTAO VIDIGAL
761;GENERAL SALGADO
762;GENTIL
763;GETULINA
764;GETULIO VARGAS
765;GLICERIO
766;GLORIA D OESTE
767;GLORIA DE DOURADOS
768;GOIANA
769;GOIANDIRA
770;GOIANESIA
771;GOIANIA
772;GOIANINHA
773;GOIANIRA
774;GOIAS
775;GOUVEIA
776;GOVERNADOR ARCHER
777;GOVERNADOR CELSO RAMOS
778;GOVERNADOR DIX SEPT ROSADO
779;GOVERNADOR JORGE TEIXEIRA
780;GOVERNADOR MANGABEIRA
781;GOVERNADOR VALADARES
782;GRAJAU
783;GRAMADO
784;GRANITO
785;GRANJA
786;GRAO PARA
787;GRAVATAI
788;GRAVATAL
789;GUACUI
790;GUAIBA
791;GUAIRA
792;GUANAMBI
793;GUANHAES
794;GUAPIACU
795;GUAPIARA
796;GUAPIMIRIM
797;GUAPORE
798;GUARA
799;GUARABIRA
800;GUARACI
801;GUARAI
802;GUARAMIRIM
803;GUARANI
804;GUARANI D OESTE
805;GUARANTA DO NORTE
806;GUARAPARI
807;GUARAPUAVA
808;GUARATINGA
809;GUARATINGUETA
810;GUARATUBA
811;GUAREI
812;GUARUJA
813;GUARUJA DO SUL
814;GUARULHOS
815;GUATAMBU
816;GUATAPARA
817;GUAXUPE
818;GUIRICEMA
819;GURUPI
820;GUZOLANDIA
821;HELIODORA
822;HELIOPOLIS
823;HERVAL
824;HERVAL D OESTE
825;HIDROLANDIA
826;HORIZONTE
827;HORIZONTINA
828;HORTOLANDIA
829;HUMAITA
830;HUMBERTO DE CAMPOS
831;IACANGA
832;IACIARA
833;IACU
834;IARAS
835;IBAITI
836;IBARETAMA
837;IBATIBA
838;IBIA
839;IBIAPINA
840;IBIPORA
841;IBIRACU
842;IBIRAIARAS
843;IBIRAJUBA
844;IBIRAMA
845;IBIRAPITANGA
846;IBIRAREMA
847;IBIRITE
848;IBIRUBA
849;IBITIARA
850;IBITINGA
851;IBITURUNA
852;IBIUNA
853;ICAPUI
854;ICARA
855;ICO
856;IEPE
857;IGACI
858;IGARACU DO TIETE
859;IGARAPAVA
860;IGARAPE
861;IGARASSU
862;IGREJINHA
863;IGUAI
864;IGUARACU
865;IGUATEMI
866;IGUATU
867;IJUI
868;ILHA COMPRIDA
869;ILHA DE ITAMARACA
870;ILHABELA
871;ILHEUS
872;ILHOTA
873;IMARUI
874;IMBAU
875;IMBE
876;IMBITUBA
877;IMBITUVA
878;IMBUIA
879;IMPERATRIZ
880;INACIOLANDIA
881;INCONFIDENTES
882;INDAIAL
883;INDAIATUBA
884;INDEPENDENCIA
885;INDIANOPOLIS
886;INDIAPORA
887;INDIAROBA
888;INHAMBUPE
889;INHAPIM
890;INHUMAS
891;INOCENCIA
892;IPAMERI
893;IPANEMA
894;IPATINGA
895;IPAUSSU
896;IPERO
897;IPIAU
898;IPIGUA
899;IPIRA
900;IPIRANGA
901;IPIRANGA DO NORTE
902;IPOJUCA
903;IPORA
904;IPORA DO OESTE
905;IPUA
906;IPUEIRAS
907;IRACEMA
908;IRACEMAPOLIS
909;IRAI DE MINAS
910;IRANI
911;IRAPUA
912;IRARA
913;IRATI
914;IRAUCUBA
915;IRECE
916;IRETAMA
917;IRINEOPOLIS
918;ITA
919;ITABAIANA
920;ITABAIANINHA
921;ITABELA
922;ITABERA
923;ITABERABA
924;ITABERAI
925;ITABIRA
926;ITABIRITO
927;ITABORAI
928;ITABUNA
929;ITACOATIARA
930;ITAGIBA
931;ITAGUAI
932;ITAGUARA
933;ITAGUARU
934;ITAI
935;ITAINOPOLIS
936;ITAIPE
937;ITAITINGA
938;ITAITUBA
939;ITAJA
940;ITAJAI
941;ITAJOBI
942;ITAJUBA
943;ITAMARANDIBA
944;ITAMARATI
945;ITAMBACURI
946;ITAMBE
947;ITAMONTE
948;ITANAGRA
949;ITANHAEM
950;ITANHEM
951;ITAOBIM
952;ITAOCA
953;ITAOCARA
954;ITAPAJE
955;ITAPEBI
956;ITAPECERICA
957;ITAPECERICA DA SERRA
958;ITAPECURU MIRIM
959;ITAPEMA
960;ITAPEMIRIM
961;ITAPERUCU
962;ITAPERUNA
963;ITAPETINGA
964;ITAPETININGA
965;ITAPEVA
966;ITAPEVI
967;ITAPICURU
968;ITAPIPOCA
969;ITAPIRA
970;ITAPIRANGA
971;ITAPISSUMA
972;ITAPIUNA
973;ITAPOA
974;ITAPOLIS
975;ITAPORA
976;ITAPORANGA
977;ITAPORANGA D AJUDA
978;ITAPOROROCA
979;ITAPUA DO OESTE
980;ITAPUI
981;ITAQUAQUECETUBA
982;ITAQUI
983;ITAQUIRAI
984;ITARANA
985;ITARANTIM
986;ITARARE
987;ITATIAIA
988;ITATIAIUCU
989;ITATIBA
990;ITATINGA
991;ITAUCU
992;ITAUNA
993;ITAVERAVA
994;ITINGA DO MARANHAO
995;ITIRAPINA
996;ITORORO
997;ITU
998;ITUBERA
999;ITUIUTABA
1000;ITUMBIARA
1001;ITUPEVA
1002;ITUPIRANGA
1003;ITUPORANGA
1004;ITURAMA
1005;ITUVERAVA
1006;IUNA
1007;IVAIPORA
1008;IVINHEMA
1009;JABOATAO DOS GUARARAPES
1010;JABOTI
1011;JABOTICABAL
1012;JABOTICATUBAS
1013;JACARACI
1014;JACAREI
1015;JACIARA
1016;JACINTO MACHADO
1017;JACOBINA
1018;JACUPIRANGA
1019;JACUTINGA
1020;JAGUAPITA
1021;JAGUAQUARA
1022;JAGUARAO
1023;JAGUARARI
1024;JAGUARI
1025;JAGUARIAIVA
1026;JAGUARIBE
1027;JAGUARIPE
1028;JAGUARIUNA
1029;JAGUARUNA
1030;JAIBA
1031;JALES
1032;JAMBEIRO
1033;JANAUBA
1034;JANDAIA DO SUL
1035;JANDIRA
1036;JANUARIA
1037;JAPARATUBA
1038;JAPERI
1039;JAPONVAR
1040;JAQUIRANA
1041;JARAGUA
1042;JARAGUA DO SUL
1043;JARAGUARI
1044;JARDIM
1045;JARDIM DO SERIDO
1046;JARDINOPOLIS
1047;JARINU
1048;JARU
1049;JATAI
1050;JATI
1051;JATOBA DO PIAUI
1052;JAU
1053;JEQUIE
1054;JEQUITINHONHA
1055;JEREMOABO
1056;JERUMENHA
1057;JESUITAS
1058;JESUPOLIS
1059;JI PARANA
1060;JIJOCA DE JERICOACOARA
1061;JOACABA
1062;JOANESIA
1063;JOANOPOLIS
1064;JOAO ALFREDO
1065;JOAO DOURADO
1066;JOAO LISBOA
1067;JOAO MONLEVADE
1068;JOAO NEIVA
1069;JOAO PESSOA
1070;JOAO PINHEIRO
1071;JOAO RAMALHO
1072;JOAQUIM FELICIO
1073;JOINVILLE
1074;JOSE BOITEUX
1075;JOVIANIA
1076;JUARA
1077;JUAZEIRO
1078;JUAZEIRO DO NORTE
1079;JUCATI
1080;JUINA
1081;JUIZ DE FORA
1082;JUNDIAI
1083;JUNQUEIRO
1084;JUNQUEIROPOLIS
1085;JUPIA
1086;JUQUIA
1087;JUQUITIBA
1088;JURANDA
1089;JURUENA
1090;JURUTI
1091;JUSSARA
1092;KALORE
1093;LABREA
1094;LAGARTO
1095;LAGES
1096;LAGO DA PEDRA
1097;LAGOA BONITA DO SUL
1098;LAGOA DA PRATA
1099;LAGOA DO CARRO
1100;LAGOA FORMOSA
1101;LAGOA GRANDE
1102;LAGOA REAL
1103;LAGOA SANTA
1104;LAGOA VERMELHA
1105;LAGOINHA
1106;LAGUNA
1107;LAJE
1108;LAJEADO
1109;LAJEDAO
1110;LAJEDO
1111;LAJES
1112;LAPA
1113;LARANJAL
1114;LARANJAL DO JARI
1115;LARANJAL PAULISTA
1116;LARANJEIRAS
1117;LARANJEIRAS DO SUL
1118;LAURO DE FREITAS
1119;LAVRAS
1120;LAVRAS DA MANGABEIRA
1121;LEANDRO FERREIRA
1122;LEBON REGIS
1123;LEME
1124;LENCOIS PAULISTA
1125;LEOPOLDINA
1126;LIMA DUARTE
1127;LIMEIRA
1128;LIMOEIRO
1129;LIMOEIRO DE ANADIA
1130;LIMOEIRO DO NORTE
1131;LINHARES
1132;LINS
1133;LIVRAMENTO DE NOSSA SENHORA
1134;LOANDA
1135;LONDRINA
1136;LONTRA
1137;LORENA
1138;LOUVEIRA
1139;LUCAS DO RIO VERDE
1140;LUCELIA
1141;LUCIANOPOLIS
1142;LUCIARA
1143;LUIS ANTONIO
1144;LUIS CORREIA
1145;LUIS EDUARDO MAGALHAES
1146;LUISBURGO
1147;LUIZIANIA
1148;LUMINARIAS
1149;LUNARDELLI
1150;LUPIONOPOLIS
1151;LUTECIA
1152;LUZERNA
1153;LUZIANIA
1154;MACAE
1155;MACAIBA
1156;MACAPA
1157;MACATUBA
1158;MACAU
1159;MACEIO
1160;MACHACALIS
1161;MACHADINHO D OESTE
1162;MACHADO
1163;MACIEIRA
1164;MADALENA
1165;MADRE DE DEUS
1166;MAFRA
1167;MAGE
1168;MAIQUINIQUE
1169;MAIRINQUE
1170;MAIRIPORA
1171;MAJOR ISIDORO
1172;MALHADA
1173;MANACAPURU
1174;MANAUS
1175;MANDAGUACU
1176;MANDAGUARI
1177;MANDIRITUBA
1178;MANFRINOPOLIS
1179;MANGA
1180;MANGARATIBA
1181;MANGUEIRINHA
1182;MANHUACU
1183;MANHUMIRIM
1184;MANOEL RIBAS
1185;MANTENA
1186;MANTENOPOLIS
1187;MARA ROSA
1188;MARABA
1189;MARABA PAULISTA
1190;MARACAI
1191;MARACANAU
1192;MARANGUAPE
1193;MARATA
1194;MARATAIZES
1195;MARAU
1196;MARAVILHA
1197;MARCELANDIA
1198;MARCELINO RAMOS
1199;MARECHAL CANDIDO RONDON
1200;MARECHAL DEODORO
1201;MARECHAL FLORIANO
1202;MAREMA
1203;MARIA DA FE
1204;MARIANA
1205;MARIBONDO
1206;MARICA
1207;MARILIA
1208;MARINGA
1209;MARIOPOLIS
1210;MARITUBA
1211;MARQUINHO
1212;MARTINOPOLE
1213;MARTINOPOLIS
1214;MASSARANDUBA
1215;MATA
1216;MATA DE SAO JOAO
1217;MATA GRANDE
1218;MATAO
1219;MATELANDIA
1220;MATEUS LEME
1221;MATIAS BARBOSA
1222;MATINHOS
1223;MATO QUEIMADO
1224;MATO VERDE
1225;MATRIZ DE CAMARAGIBE
1226;MAUA
1227;MAUA DA SERRA
1228;MAUES
1229;MAURITI
