id_logradouro;desc_logradouro
294;AVENIDA BRUNO RUGGIERO FILHO
295;AVENIDA BUARQUE DE MACEDO
296;AVENIDA BUCAR NETO
297;AVENIDA BURITIS
298;AVENIDA C
299;AVENIDA C 182
300;AVENIDA CACHOEIRA PAULISTA
301;AVENIDA CAETANO MARINHO
302;AVENIDA CAIRU
303;AVENIDA CALAMA
304;AVENIDA CALIFORNIA
305;AVENIDA CAMILO DI LELLIS
306;AVENIDA CAMPOS SALES
307;AVENIDA CAMPOS SALLES
308;AVENIDA CANAA
309;AVENIDA CANAVIEIRAS
310;AVENIDA CANDIDO ALEIXO
311;AVENIDA CANDIDO DANTAS DE ARAUJO
312;AVENIDA CANDIDO DE ABREU
313;AVENIDA CANDIDO DIAS
314;AVENIDA CANDIDO HARTMANN
315;AVENIDA CANDIDO PORTINARI
316;AVENIDA CANDIDO TOLEDO
317;AVENIDA CANGAIBA
318;AVENIDA CANTAGALO
319;AVENIDA CAPITAO ARTHUR DOS SANTOS
320;AVENIDA CAPITAO EUGENIO GABRIEL
321;AVENIDA CAPITAO FRANCISCO CEZAR
322;AVENIDA CAPITAO JOSE PESSOA
323;AVENIDA CAPITAO WALDEMAR PAULA LIMA
324;AVENIDA CARDOSO DE SA
325;AVENIDA CARDOSO MOREIRA
326;AVENIDA CARLOS BARBOSA
327;AVENIDA CARLOS CAVALCANTI
328;AVENIDA CARLOS DE MEDEIROS
329;AVENIDA CARLOS GOMES
330;AVENIDA CARLOS HUGUENEY
331;AVENIDA CARLOS JEREISSATI
332;AVENIDA CARLOS LACERDA
333;AVENIDA CARLOS LINDEMBERG
334;AVENIDA CARLOS MARTINS SODERO
335;AVENIDA CARMINDO DE CAMPOS
336;AVENIDA CARMINE FEOLA
337;AVENIDA CARVALHO LEAL
338;AVENIDA CASTELO BRANCO
339;AVENIDA CASTRO ALVES
340;AVENIDA CATARINA ELLER
341;AVENIDA CAVALHADA
342;AVENIDA CAXANGA
343;AVENIDA CDE FRANCISCO MATARAZZO
344;AVENIDA CEARA
345;AVENIDA CELSO GARCIA
346;AVENIDA CELSO MALCHER
347;AVENIDA CELSO MAZUTI
348;AVENIDA CELSO MAZUTTI
349;AVENIDA CELSO PORFIRIO MACHADO
350;AVENIDA CELSO RAMOS
351;AVENIDA CENTENARIO
352;AVENIDA CENTO E UM
353;AVENIDA CENTRAL
354;AVENIDA CERRO AZUL
355;AVENIDA CESARIO ALVIM
356;AVENIDA CESARIO DE MELLO
357;AVENIDA CESARIO DE MELO
358;AVENIDA CHAMPAGNAT
359;AVENIDA CHAMPAPNAT
360;AVENIDA CINCO
361;AVENIDA CIRCULAR
362;AVENIDA CLEMENTINO
363;AVENIDA CLETO NUNES
364;AVENIDA CLODOALDO GARCIA
365;AVENIDA COARACY NUNES
366;AVENIDA COLOMBO
367;AVENIDA COLOMBO SALLES
368;AVENIDA COMENDADOR COSTA
369;AVENIDA COMENDADOR FRANCISCO AVELINO MAIA
370;AVENIDA COMENDADOR GUSTAVO PAIVA
371;AVENIDA COMENDADOR JOSE PEREIRA
372;AVENIDA COMENDADOR RAFAEL
373;AVENIDA COMENDADOR TELES
374;AVENIDA COMERCIAL
375;AVENIDA CONCORDIA
376;AVENIDA CONDE DE BOA VISTA
377;AVENIDA CONDE FRANCISCO MATARAZZO
378;AVENIDA CONDE RIBEIRO DO VALLE
379;AVENIDA CONDESSA DE VIMIEIROS
380;AVENIDA CONDESSA ELISAB ROBIANO
381;AVENIDA CONEGO CLEMENTINO
382;AVENIDA CONEGO PERES
383;AVENIDA CONEGO RAMIRO LEITE
384;AVENIDA CONS MOREIRA DE BARROS
385;AVENIDA CONS ROSA E SILVA
386;AVENIDA CONSELHEIRO CARRAO
387;AVENIDA CONSELHEIRO FURTADO
388;AVENIDA CONSELHEIRO RODRIGUES ALVES
389;AVENIDA CONSELHEIRO ZACARIAS
390;AVENIDA CONSOLACAO
391;AVENIDA CONSTANTINO JOSE DOS SANTOS
392;AVENIDA CONSTANTINO NERY
393;AVENIDA CONTAGEM
394;AVENIDA CONTORNO
395;AVENIDA CONTORNO DA MATO GROSSO
396;AVENIDA COPACABANA
397;AVENIDA CORONEL ANTONINO
398;AVENIDA CORONEL ANTONIO RODRIGUES VIANA
399;AVENIDA CORONEL ERNESTO FRANCISCO BERTASO
400;AVENIDA CORONEL ESCOLASTICO
401;AVENIDA CORONEL ESTEVAM
402;AVENIDA CORONEL FLORENTINO
403;AVENIDA CORONEL FRANCISCO CAVALCANTE
404;AVENIDA CORONEL FREDERICO LINCK
405;AVENIDA CORONEL GASPAR
406;AVENIDA CORONEL GUSTAVO R SILVA
407;AVENIDA CORONEL JOSE DIAS BICALHO
408;AVENIDA CORONEL JOSE OSORIO
409;AVENIDA CORONEL JOSE PINTO
410;AVENIDA CORONEL JOSE SOARES MARCONDES
411;AVENIDA CORONEL LUIS OLIVEIRA SAMPAIO
412;AVENIDA CORONEL MANOEL A D CASTRO
413;AVENIDA CORONEL MANOEL NUNES
414;AVENIDA CORONEL MOACIR JOSE DA SILVA
415;AVENIDA CORONEL SISSON
416;AVENIDA CORONEL TRAJANO BRANDAO
417;AVENIDA CORONEL VALENCIO CARNEIRO
418;AVENIDA CORREGO DO LIMOEIRO
419;AVENIDA CORUMBIARA
420;AVENIDA COSME FERREIRA
421;AVENIDA COSTA E SILVA
422;AVENIDA COUTO MAGALHAES
423;AVENIDA CRISANTEMO
424;AVENIDA CRISTIANO MACHADO
425;AVENIDA CRISTIANO REIS M FILHO
426;AVENIDA CRISTO REI
427;AVENIDA CRISTOVAO COLOMBO
428;AVENIDA CRUZEIRO DO SUL
429;AVENIDA CUIABA
430;AVENIDA CUJUBIM
431;AVENIDA CUPECE
432;AVENIDA CUPIUBA
433;AVENIDA CURITIBA
434;AVENIDA CUSTODIO FERREIRA
435;AVENIDA D PEDRO I
436;AVENIDA DA ALDEIA
437;AVENIDA DA BARREIRA GRANDE
438;AVENIDA DA CONSOLATA
439;AVENIDA DA INDEPENDENCIA
440;AVENIDA DA INTEGRACAO
441;AVENIDA DA PAZ
442;AVENIDA DA PENHA
443;AVENIDA DA SAUDADE
444;AVENIDA DA SEDE
445;AVENIDA DALVO GARCIA DOS SANTOS
446;AVENIDA DANIEL DE LA TOUCHE
447;AVENIDA DANIEL MALETTINI
448;AVENIDA DANILO CORREA
449;AVENIDA DANILO GALEAZZI
450;AVENIDA DANTAS BARRETO
451;AVENIDA DANTE BRUNO
452;AVENIDA DAS ACACIAS
453;AVENIDA DAS AMERICAS
454;AVENIDA DAS ARAUCARIAS
455;AVENIDA DAS BANDEIRAS
456;AVENIDA DAS CEREJEIRAS
457;AVENIDA DAS COMUNICACOES
458;AVENIDA DAS ESTRELAS
459;AVENIDA DAS FLORES
460;AVENIDA DAS HORTENCIAS
461;AVENIDA DAS HORTENSIAS
462;AVENIDA DAS INDUSTRIAS
463;AVENIDA DAS NACOES
464;AVENIDA DAS NACOES UNIDAS
465;AVENIDA DAS PALMEIRAS
466;AVENIDA DAS RENDEIRAS
467;AVENIDA DAVI ALVES SILVA
468;AVENIDA DE PINEDO
469;AVENIDA DECIMA QUINTA
470;AVENIDA DECIO CASTELO BRANCO
471;AVENIDA DEDE BRASIL
472;AVENIDA DELEGADO ELY CORREA PRADO
473;AVENIDA DELFINOPOLIS
474;AVENIDA DELMIRO GOUVEIA
475;AVENIDA DEMERVAL LOBAO
476;AVENIDA DEPUTADO CANTIDIO SAMPAIO
477;AVENIDA DEPUTADO CARLOS LUZ
478;AVENIDA DEPUTADO ELISIO MAIA
479;AVENIDA DEPUTADO LISTER CALDAS
480;AVENIDA DEPUTADO NILSON RIBAS
481;AVENIDA DEPUTADO PINHEIRO MACHADO
482;AVENIDA DEPUTADO ULISSES GUIMARAES
483;AVENIDA DESEMBARGADOR CLOTARIO PORTUGAL
484;AVENIDA DESEMBARGADOR EMILIO FRANCISCO POVOA
485;AVENIDA DESEMBARGADOR HAMILTON VELASCO
486;AVENIDA DESEMBARGADOR MOREIRA
487;AVENIDA DESEMBARGADOR T CALDAS
488;AVENIDA DESEMBARGADOR TACITO DE CALDAS
489;AVENIDA DESIDERIO ANTONIO COELHO
